Raven House Trust, NP19 0HT
Bettws Food Bank, NP20 7AT
Stow Park Church Centre, NP20 4FX
Swansea Mosque, SA1 4AW
Cathedral Food Bank, LL57 1RL
Jubilee Storehouse, SY23 1RX
Raven House, NP26 4NA
Helping Hands Victory Church, NP44 3BA
Helping Hands Victory Church, NP4 9AS
Helping Hands Victory Church, NP44 7NX
Helping Hands Victory Church, NP4 6YB
Belly Full, NP12 2JF
Llanelli Lifeshare Antioch Centre, SA15 2NE
Knighton Food Bank, LD7 1EU
Banc Bwyd Bro Ddyfi Food Bank, SY208ER
Lampeter Food Bank, SA48 7DQ
Newtown Food Bank, SY16 1QJ
Banc Bwyd Pwllheli Food Bank, LL53 5DS
Conwy Food Bank, LL29 7TE
The King's Storehouse, LL18 2PD
Mon CF Food Bank, LL65 1UN
Almwch Pantry No 6, LL68 9AE
Alsager and District Food Bank , ST7 2AG
Ashburton Food Bank , TQ13 7AP
Axminster Food Bank, EX135DZ
Blandford Forum Food Bank, DT11 7HA
Bridging the Gap Food Bank, BA6 9EL
Bridgnorth Food Bank, WV16 4AB
Bude Food Bank, EX23 8RA
Calne Food Bank, SN11 0JF
Chippenham Food Bank, SN14 0LL
Clun Food Bank, SY7 8JG
Community Larder  St Mary's Church Hall , HR9 5HN
Community of the Sisters of the Church Food Bank, BS6 5NT]
Storehouse Food Bank Congleton, CW12 4EY
Corfe Mullen Community Food Bank, BH21 3LE
Corfe Mullen Food Bank, BH21 3LE
Corsham Churches Food Bank, SN13 0EB
CPR Food Bank, TR14 8HS
CPR Food Bank, TR15 3DZ
CPR Food Bank, TR15 2LL
CPR Food Bank, TR15 1NH
Craven Arms Food Bank, SY7 9NW
Crediton Food Bank, EX17 3LB
Warminster Food Bank, BA13 3DE
Warminster Food Bank, BA12 0PN
Warminster Food Bank, BA12 6EW
Cullompton Food Bank, EX15 1JX
Cupboard of Love, DT6 3NW
Dartmouth and District Food Bank, TQ6 9SA
Doorway Project , SN15 1HB
Dorchester Food Bank, DT1 1RR
Fair Frome Food Bank, BA11 1EB
Food Friend, SK9 1PR
Hayle Food Bank, TR27 4JU
Helping Hands , HR7 4DZ
Hereford Food Bank, HR4 0BU
HITS Food Bank, TQ12 1LZ
Honiton Food Bank, EX14 1DH
Hopeful Hampers, DT6 3RL
Kingsbridge Food Bank , TQ7 1AW
Kington Food Bank , HR5 3DP
Ledbury Food Bank, HR8 1DZ
Leominster Food Bank, HR6 8DA
Ludlow Baptist Church, SY8 1SX
Lyme Regis & Beaminster Children’s Centre & Dorset County Council , DT8 3AY
LymeNet, DT7 3HR
Market Place Food Bank, TQ9 5XL
Melksham Food Bank, SN12 8BX
Minehead West Somerset Food Cupboard, TA24 6BN
Newquay Food Bank, TR7 3EY
Newquay Food Bank, TR7 1DP
Newquay Food Bank, TR9 6RH
Newquay Food Bank, TR7 1BD
Okehampton Food Bank, EX20 1AN
Ottery St Mary Food Bank, EX11 1EU
Penzance Food Bank, TR18 3PZ
Poole Food Bank, BH15 2HP
Portland Food Bank, DT5 1JE
Wareham Food Bank, BH20 4QT
Refresh, BS3 4EX
Resound, BS16 9BP
Sandbach Methodist Church Food Bank, CW11 1DP
Seaton Food Bank, EX12 2RP
Sherborne Food Bank, DT9 4DU
Shrewsbury Food Bank, SY3 7DN
Shrewsbury Food Bank, SY1 3PU
Sid Valley Food Bank, EX10 8EN
Silk Life Food Bank, SK11 6HS
Southbourne Food Bank, BH6 3QJ
St Ives Food Bank, TR26 2HG
St Laurence Church Food Bank, SY6 6DQ
Store House Food Bank, BA14 8DY
Store House Food Bank, BA5 2EF
Telford Crisis Support, TF1 1HW
Telford Crisis Support, TF10 7AR
Telford Crisis Support, TF1 6LP
Telford Crisis Support, TF4 2EX
Telford Crisis Support, TF3 1FL
Telford Crisis Support, TF7 5AH
Telford Crisis Support, TF2 7RB
Telford Crisis Support, TF1 1NS
Telford Crisis Support, TF2 6EP
Telford Crisis Support, TF3 4HS
Telford Crisis Support, TF7 5QZ
Telford Crisis Support, TF7 4HG
Telford Crisis Support Community Store , TF3 4AG
Telford Crisis Support Park Lane Centre, TF2 7RB
Tenbury Emergency Food Relief, WR15 8AA
The Lord's Larder, BA20 1QN
The Lord's Larder (different from Yeovil), TA20 1QA
Tiverton Food Bank, EX16 6PY
Torrington Community Food Bank, EX38 8BS
Torrington Community Food Bank, EX38 8AA
Victoria Park Baptist Chuch Food Bank, BS3 5DA
Warminster Food Bank, BA12 9AD
Weymouth Food Bank, DT4 8DT
Abingdon Food Bank, OX14 1PL
Bevendean Community Centre Food Bank, BN2 4LA
Bordon Food Bank, GU35 0BS
Bridge Church Food Bank, PO11 0JD
Brighton Food Bank, BN1 4NJ
Brighton Women's Centre Food Bank, BN2 1RP
Burgess Hill Food Bank, RH15 9AA
Canterbury Food Bank, CT1 1PA
Canterbury Food Bank, CT2 8LS
Canterbury Food Bank, CT6 8DY
Caring Hands Food Bank, PO2 7DX
Carterton Community Food Bank, OX18 3JH
Comfort Memorial Food For All, MK2 3HU
Craven Vale Community Centre Food Bank, BN2 0FH
Dart Vineyard Food Bank, DA1 1EZ
Didcot Baptist Church Emergency Foodbank, OX11 8AB
Eastleigh Basics Bank, SO50 5PP
Fareham Basics Bank, PO16 7XU
Food 4 Seahaven, BN9 9BA
Maidenhead Foodshare, SL6 7QU
Maidenhead Foodshare, SL6 7AQ
Gosport Basics Bank, P012 1QA
Hangleton and West Blatchington Food Bank, BN3 7QR
Haslemere Methodist Church Food Bank, GU27 1LD
Lancing and Sompting Food Bank, BN15 9AH
Landport Food Bank, BN7 2SP
Loaves and Fishes Food Bank, TN13 3TX
Loveworks Food Bank, RH2 7LR
Loveworks Food Bank, RH1 3HY
Malling Food Bank, BN7 2BY
Manna Food Bank, TW18 2DX
Meon Valley Food Bank, SO32 1PT
Milton Keynes Food Bank, MK3 5DR
Milton Keynes Food Bank, MK12 5EX
Milton Keynes Food Bank, MK12 5LY
